,0
0,"This is the biggest political crime and scandal in American history. Hopefully, for the good of our Country, it is coming soon! https://t.co/sgblnB0EgL"
1,Congratulations Jim. It was a great and beautiful event. Well deserved! https://t.co/I4iwvYx3DK
2,Sleepy Joe Biden is just a Trojan Horse for the Radical Left Agenda. He will do whatever they want!
3,"Somebody please tell Congressman Clyburn, who doesn’t have a clue, that the chart he put up indicating more CASES for the U.S. than Europe, is because we do MUCH MORE testing than any other country in the World. If we had no testing, or bad testing, we would show very few CASES.."
4,Play Football Big Ten! https://t.co/tlMFxv2mvx
5,https://t.co/4MFYlNoI7y
6,https://t.co/FPSif7Ieff
7,"Crazy Nancy Pelosi is being decimated for having a beauty parlor opened, when all others are closed, and for not wearing a Mask - despite constantly lecturing everyone else. We will almost certainly take back the House, and send Nancy packing!"
8,Honored to send $25.9 MILLION in @USDOT funds to the great State of Texas to support bus infrastructure improvements. Congratulations to the MANY Texans who will benefit!
9,Disgraceful that Big Ten is not playing football. Let them PLAY!
10,Esther is GREAT! https://t.co/ByRs6psFO1
11,Would be terrible for our Country! https://t.co/aVifiIjXXe
12,https://t.co/6BVrMg0yCO
13,https://t.co/1Vz3GxLawl
14,"The Fake News doesn’t want to report these numbers. The @latimes and others believed the Crooked Dems before the real numbers came out. Too bad we don’t have honest reporting when it comes to “Trump”. Phony sources, they say anything and think they get away with it. November 3rd. https://t.co/gyHx898DXn"
15,"Portland, which is out of control, should finally, after almost 3 months, bring in the National Guard. The Mayor and Governor are putting people’s lives at risk. They will be held responsible. The Guard is ready to act immediately. The Courthouse is secured by Homeland!"
16,"Anarchists, Agitators or Protestors who vandalize or damage our Federal Courthouse in Portland, or any Federal Buildings in any of our Cities or States, will be prosecuted under our recently re-enacted Statues &amp; Monuments Act. MINIMUM TEN YEARS IN PRISON. Don’t do it! @DHSgov"
17,Congratulations to future Republican Star Marjorie Taylor Greene on a big Congressional primary win in Georgia against a very tough and smart opponent. Marjorie is strong on everything and never gives up - a real WINNER!
18,"Why are Republicans allowing the Democrats to have ridiculous Post Office hearings on Saturday &amp; Monday, just before and during our Convention. Let them hold them NOW (during their Convention) or after our Convention is over. Always playing right into their hands! @senatemajldr"
19,"BLM Protesters horribly harass elderly Pittsburgh diners, scaring them with loud taunts while taking their food right off their plate. These Anarchists, not protesters, are Biden voters, but he has no control and nothing to say. Disgraceful. Never seen anything like it. Thugs!"
20,"Wow! Really bad TV Ratings for Morning Joe (@JoeNBC). @foxandfriends doing great, leading all others by far. @CNN not a factor!!!"
21,".@CNN IS FAKE NEWS, and all smart people know that! https://t.co/fqykkHxmx5"
22,Wow! https://t.co/vw0uZPuHXZ
23,"Don’t buy GOODYEAR TIRES - They announced a BAN ON MAGA HATS. Get better tires for far less! (This is what the Radical Left Democrats do. Two can play the same game, and we have to start playing it now!)."
24,https://t.co/atXqNfBDMs
25,"....be able to produce what I have. So when you see those nasty ads from Big Pharma remember, the only reason they are going all out is the massive PRICE REDUCTIONS you are getting - not good for them. Plus, I was only President in 51 years that got a Prescription D reduction!"
26,Why would @FoxNews put on phony Congresswoman @RepDebDingell. A total waste of airtime!
27,NEW RECORD FOR NASDAQ!
28,"...To the leaders of Iran, I would greatly appreciate if you would spare this young man’s life, and not execute him. Thank you! @UFC @DanaWhite @FoxNews https://t.co/NkJb4IsQpt"
29,https://t.co/sOGZ9NF77m
30,"Had a lengthy discussion this morning with President Macron of France concerning numerous subjects, but in particular the catastrophic event which took place in Beirut, Lebanon..."
31,"If Obama did this, they would speak of nothing else. Biden could NEVER do it! https://t.co/1djK42xawI"
32,https://t.co/foghIJGA3e
33,The United States of America will NOT be cutting funding to @starsandstripes magazine under my watch. It will continue to be a wonderful source of information to our Great Military!
34,".@DonYoungAK really produces for Alaska. He is an incredible Congressman who loves his State and works tirelessly for it. Strong on Public Lands, Energy, and our Second Amendment. He will never let you down, and has my Complete and Total Endorsement! https://t.co/cUR3zuUfs6"
35,.@DNI_Ratcliffe on @MariaBartiromo this morning. @FoxNews
36,"The honorable thing to do is drop the Mail-In Scam before it is too late! Absentee Ballots, like they have in Florida, are good! https://t.co/uuVyliWEwS"
37,"I spoke to highly respected (Chairman) Senator @JimInhofe, who has informed me that he WILL NOT be changing the names of our great Military Bases and Forts, places from which we won two World Wars (and more!). Like me, Jim is not a believer in “Cancel Culture”."
38,Great going Laura. You have a great chance against a Pelosi puppet! https://t.co/pKZp35dUYr
39,New Hampshire will receive nearly $822K in @USDOT funds for bus service in the city of Nashua. Happy to support @RideBigBlue and keep the people of Nashua moving!
40,"Happy Sunday! We want GOD! 
https://t.co/RsBkSEmJEi"
41,https://t.co/q84nZEwmvm
42,"Mike Pence was never put on standby, &amp; there were no mini-strokes. This is just more Fake News by @CNN, a phony story. The reason for the visit to Walter Reed, together with the full press pool, was to complete my yearly physical. Short visit, then returned (with press) to W.H... https://t.co/GUVdbJRvqD"
43,Thank you. We will not let them down! https://t.co/IOAVJpJji5
44,https://t.co/Wj2pcpCKvF
45,BUT DIDN’T SHE CALL HIM A RACIST??? DIDN’T SHE SAY HE WAS INCOMPETENT???
46,"...The Bob Woodward book will be a FAKE, as always, just as many of the others have been. But, believe it or not, lately I’ve been getting lots of GREAT books!"
47,Moving along nicely. MAGA! https://t.co/xNchR73xgp
48,"I saved the Iron Range from the Obama Closure. We opened it up again, proudly. Also sent the National Guard the Minneapolis to squelch a big problem. It worked, and quickly!!! https://t.co/v8mkiawBy5"
49,These are the Democrats “peaceful protests”. Sick! https://t.co/8NpRepi8UY
50,Thank you James! https://t.co/cKiKlAXHqI
51,https://t.co/0Qex1aSLCf
